gene	disease
STAT1	Recurrent infections;Immunodeficiency 31a;Failure to thrive;Combined immunodeficiency;Chronic diarrhea;Cognitive impairment;Eczema;Blepharitis;Primary hypothyroidism;Delayed speech and language development;Recurrent fungal infections;Severe T-cell immunodeficiency;Bronchiectasis;Chronic oral candidiasis;Onychomycosis;Immunodeficiency 31C;Chronic mucocutaneous candidiasis;Mycobacterial and viral infections, susceptibility to, autosomal recessive;Recurrent skin infections;Liver abscess;Recurrent Staphylococcus aureus infections;Recurrent bacterial skin infections;Recurrent candida infections;Short stature;Hypothyroidism
STAT2	Immunodeficiency 44
STAT3	Hyper-IgE syndrome;STAT3 gain of function;Autoimmune disease, multisystem, infantile-onset, 1;Hyperimmunoglobulin E syndrome
STAT4	Systemic lupus erythematosus 11
STAT5B	Growth hormone insensitivity with immunodeficiency
STEAP3	Hypochromic microcytic anemia with iron overload 2
STIL	Primary autosomal recessive microcephaly 7;Abnormality of brain morphology;Inborn genetic diseases
STIM1	Myopathy with tubular aggregates;Immune dysfunction with T-cell inactivation due to calcium entry defect 2;Stormorken syndrome
STK11	Intestinal polyposis;Squamous cell lung carcinoma;Cutaneous melanoma;Neoplasm;Lung adenocarcinoma;Pancreatic Neoplasms;Hereditary cancer-predisposing syndrome;Non-small cell lung cancer;Malignant tumor of testis;Carcinoma of pancreas;Periorbital hyperpigmentation;Cutaneous malignant melanoma 1;Peutz-Jeghers syndrome
STK4	T-cell immunodeficiency, recurrent infections, and autoimmunity with or without cardiac malformations
STN1	Cerebroretinal microangiopathy with calcifications and cysts 2
STOX1	Preeclampsia/eclampsia 4
STRA6	Anophthalmia - microphthalmia;Microphthalmia syndromic 9
STRADA	Polyhydramnios, megalencephaly, and symptomatic epilepsy;Rolandic epilepsy
STRC	CATSPER-Related Male Infertility;Deafness, autosomal recessive 16;Deafness-infertility syndrome;Nonsyndromic hearing loss and deafness
STS	Schizophrenia;X-linked ichthyosis with steryl-sulfatase deficiency;Autistic disorder of childhood onset
STT3A	Congenital disorder of glycosylation type 1w
STT3B	Congenital disorder of glycosylation type 1x
STUB1	SPINOCEREBELLAR ATAXIA 48;Spinocerebellar ataxia, autosomal recessive 16
STX11	Hemophagocytic lymphohistiocytosis, familial, 4
STX1B	Generalized epilepsy with febrile seizures plus, type 9;Seizures;Inborn genetic diseases
STX7	Abnormality of neuronal migration
STXBP1	Intellectual disability, non syndromic;Epileptic encephalopathy;Seizures;Global developmental delay;Early infantile epileptic encephalopathy 4;Severe intellectual deficiency;Macrocephalus;Behavioral abnormality;Microcephaly;Severe global developmental delay;Hand tremor;Inborn genetic diseases;Early infantile epileptic encephalopathy;History of neurodevelopmental disorder
STXBP2	Hemophagocytic lymphohistiocytosis, familial, 5;Familial hemophagocytic lymphohistiocytosis
SUCLA2	Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria)
SUCLG1	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic with methylmalonic aciduria)
SUFU	JOUBERT SYNDROME 32;Gorlin syndrome;Meningioma, familial;Medulloblastoma with extensive nodularity;Medulloblastoma
SUGCT	Glutaryl-CoA oxidase deficiency
SULT2B1	Autosomal recessive congenital ichthyosis 2;Autosomal recessive congenital ichthyosis 1;ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 14
SUMF1	Spinocerebellar ataxia 15;Multiple sulfatase deficiency
SUMO4	Diabetes mellitus, insulin-dependent, 5
SUN5	Spermatogenic failure 16
SUOX	Sulfite oxidase deficiency, isolated;Sulfite oxidase deficiency
SUPT20H	Rheumatoid arthritis
SURF1	Leigh syndrome due to mitochondrial complex IV deficiency;Charcot-Marie-Tooth disease, type 4k;Inborn genetic diseases;Leigh syndrome
SVIL	Abnormality of brain morphology
SYCE1	Spermatogenic failure 15;Premature ovarian failure;Primary amenorrhea;Premature ovarian failure 12
SYCP3	Spermatogenesis arrest
SYN1	Schizophrenia;Autistic disorder of childhood onset;Inborn genetic diseases;History of neurodevelopmental disorder;Epilepsy, X-linked, with variable learning disabilities and behavior disorders
SYN3	Global developmental delay;Cerebellar vermis atrophy;Visual impairment;Seizures;Generalized hypotonia
SYNE1	Abnormality of brain morphology;SYNE1-Related Disorders;Emery-Dreifuss muscular dystrophy 4, autosomal dominant;Spinocerebellar ataxia, autosomal recessive 8
SYNE2	Emery-Dreifuss muscular dystrophy 5, autosomal dominant
SYNE4	Nonsyndromic hearing loss and deafness;Deafness, autosomal recessive 76
SYNGAP1	Mental retardation, autosomal recessive 5;Mental retardation, autosomal dominant 5;Epileptic encephalopathy;Absent speech;Stereotypy;Preauricular skin tag;Motor delay;Global developmental delay;Behavioral abnormality;Delayed speech and language development;Cerebellar ataxia;Inborn genetic diseases;History of neurodevelopmental disorder;Generalized hypotonia
SYNJ1	Epileptic encephalopathy, early infantile, 53;Epileptic encephalopathy, early infantile, 1;Parkinson disease 20, early-onset
SYP	Schizophrenia;Autistic disorder of childhood onset;Mental retardation, X-linked 96
SYT1	SYT1-associated neurodevelopmental disorder;BAKER-GORDON SYNDROME;Inborn genetic diseases
SYT14	Spinocerebellar ataxia, autosomal recessive 11
SYT2	Respiratory distress;Muscle weakness;Myasthenic syndrome, congenital, 7, presynaptic
SYTL2	Angioedema
SZT2	Deep plantar creases;Abnormality of the cerebral white matter;Early infantile epileptic encephalopathy 18;Rolandic epilepsy;Seizures;Global developmental delay;Macrocephalus;Abnormality of the anterior fontanelle;Central hypotonia;Cryptorchidism
TAB2	Congenital heart defects, multiple types, 2
TAC3	Delayed puberty;Hypogonadotropic hypogonadism 7 with or without anosmia;Hypogonadotropic hypogonadism 10 with or without anosmia
TACO1	Congenital myasthenic syndrome, acetazolamide-responsive
TACR3	Delayed puberty;Hypogonadotropic hypogonadism 11 with or without anosmia;Hypogonadotropic hypogonadism 7 with or without anosmia
TACSTD2	Lattice corneal dystrophy Type III
TAF1	Dystonia 3, torsion, X-linked;Mental retardation, X-linked, syndromic 33
TAF13	Schizophrenia
TAF2	Mental retardation, autosomal recessive 40
TAF4B	Spermatogenic failure 13
TAF6	Global developmental delay;Alazami-Yuan syndrome;Syndromic intellectual disability;Cornelia de Lange syndrome 1;Abnormal facial shape
TALDO1	Deficiency of transaldolase
TANGO2	Cardiac arrhythmia;Intellectual functioning disability;Inborn genetic diseases;Seizures;METABOLIC CRISES, RECURRENT, WITH RHABDOMYOLYSIS, CARDIAC ARRHYTHMIAS, AND NEURODEGENERATION;Acute rhabdomyolysis;Episodic flaccid weakness
TAP2	Bare lymphocyte syndrome type 1
TAPT1	Osteochondrodysplasia, complex lethal, symoens-barnes-gistelinck type
TARDBP	TARDBP-related frontotemporal dementia;FRONTOTEMPORAL DEMENTIA WITH TDP43 INCLUSIONS, TARDBP-RELATED;Motor neuron disease;Amyotrophic lateral sclerosis type 10
TARS2	Combined oxidative phosphorylation deficiency 21
TAS2R16	Alcohol dependence, susceptibility to;BETA-GLUCOPYRANOSIDE TASTING
TASP1	Multiple congenital anomalies;Global developmental delay;Developmental delay;Distinctive facial features;Happy demeanor;Abnormal facial shape
TAT	Tyrosinemia type 2
TAX1BP3	TAX1BP3-related arrhythmogenic right ventricular cardiomyopathy
TAZ	Cardiovascular phenotype;3-Methylglutaconic aciduria type 2;Cardiomyopathy
TBC1D20	Warburg micro syndrome 4
TBC1D23	PONTOCEREBELLAR HYPOPLASIA, TYPE 11;Pontoneocerebellar hypoplasia
TBC1D24	Deafness, autosomal dominant 65;Epileptic encephalopathy, early infantile, 1;Intellectual disability;Neurodevelopmental delay;Early infantile epileptic encephalopathy 16;Caused by mutation in the TBC1 domain family, member 24;Myoclonic epilepsy, familial infantile;Autosomal dominant epilepsy;Progressive myoclonus epilepsy with ataxia;Deafness, autosomal recessive 86;DOORS syndrome;Periodic paralysis;Parkinsonism
TBC1D4	Diabetes mellitus, noninsulin-dependent, 5;Insulin resistance
TBC1D7	Macrocephalus;Macrocephaly/megalencephaly syndrome, autosomal recessive
TBCD	Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum
TBCE	Encephalopathy, progressive, with amyotrophy and optic atrophy;Hypoparathyroidism retardation dysmorphism syndrome;Inborn genetic diseases;Kenny-Caffey syndrome type 1
TBCK	Dysmorphism;Ventral septal defect;Seizures;Global developmental delay;Delayed reflexes;Hypotonia, infantile, with psychomotor retardation and characteristic facies 3;Syndromic Infantile Encephalopathy;Muscular hypotonia
TBK1	Frontotemporal dementia and/or amyotrophic lateral sclerosis 4;Primary progressive non fluent aphasia;Corticobasal syndrome;ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 8;Motor neuron disease
TBL1XR1	Pierpont syndrome;Fitzsimmons-Guilbert syndrome;Inborn genetic diseases
TBL1Y	DEAFNESS, Y-LINKED 2
TBR1	Aplasia/Hypoplasia of the corpus callosum;Hypoplastic hippocampus;Hypoplastic anterior commissure;Abnormal facial shape;Autism 5;EEG abnormality;Behavioral abnormality;Moderate global developmental delay;Generalized hypotonia;Cortical dysplasia;Gait disturbance;Absent speech;Seizures;Autistic behavior;Severe global developmental delay;Inborn genetic diseases;Inflexible adherence to routines or rituals
TBX1	Shprintzen syndrome;DiGeorge sequence;Conotruncal anomaly face syndrome/velocardiofacial syndrome;Inborn genetic diseases
TBX18	Multicystic renal dysplasia, bilateral
TBX19	Adrenocorticotropic hormone deficiency;Inborn genetic diseases
TBX2	TBX2-related condition;VERTEBRAL ANOMALIES AND VARIABLE ENDOCRINE AND T-CELL DYSFUNCTION
TBX20	Hypoplastic left heart syndrome;Hypoplastic right heart syndrome;Wolff-Parkinson-White pattern;Atrial septal defect 4
TBX22	Cleft palate with ankyloglossia;Schizophrenia;Autistic disorder of childhood onset
TBX3	Ulnar-mammary syndrome
TBX4	Ischiopatellar dysplasia;Pulmonary arterial hypertension associated with congenital heart disease
TBX5	Ventricular septal defect;Heart, malformation of;Aortic valve disease 2;Mitral regurgitation;Holt-Oram syndrome;Congenital heart disease (variable);Atrioventricular septal defect;Secundum atrial septal defect;Atrial septal defect 1
TBX6	Spondylocostal dysostosis 5
TBXA2R	Platelet-type bleeding disorder 13, susceptibility to
TBXAS1	Ghosal hematodiaphyseal syndrome;Ghosal syndrome;Thromboxane synthetase deficiency
TBXT	Sacral agenesis with vertebral anomalies;Neural tube defects, susceptibility to
TCAP	Primary familial hypertrophic cardiomyopathy;Elevated serum creatine phosphokinase;Primary dilated cardiomyopathy;Dilated cardiomyopathy 1N;Limb-girdle muscular dystrophy, type 2G
TCF12	Craniosynostosis 3;Coronal craniosynostosis
TCF20	Failure to thrive;TCF20-related condition;Intellectual disability;Pectus excavatum;Neurodevelopmental abnormality;Myoclonus;DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES;Muscular hypotonia;Intellectual disability, mild;Generalized hypotonia;Intellectual disability, moderate;Ptosis;Autistic disorder of childhood onset;Neurodevelopmental delay;Attention deficit hyperactivity disorder;Autistic behavior;Inborn genetic diseases
TCF3	Agammaglobulinemia 8, autosomal dominant
TCF4	Short nose;Anteverted nares;Pitt-Hopkins syndrome;Stereotypy;Drooling;Global developmental delay;Corneal dystrophy, Fuchs endothelial, 3;Epicanthus;Cerebral hypoplasia;Inborn genetic diseases;Feeding difficulties in infancy
TCF7L2	Diabetes mellitus type 2
TCHH	Uncombable hair syndrome 3
TCIRG1	Osteopetrosis autosomal recessive 1
TCN1	Transcobalamin I deficiency
TCN2	Transcolabamin II deficiency;Transcobalamin II deficiency
TCOF1	Treacher Collins syndrome 1
TCTEX1D2	Short-rib thoracic dysplasia 3 with or without polydactyly;Short-rib thoracic dysplasia 17 with or without polydactyly
TCTN1	Global developmental delay;Typical Joubert syndrome MRI findings;Joubert syndrome 13
TCTN2	Joubert syndrome 24;Meckel syndrome type 8;Meckel-Gruber syndrome;Joubert syndrome
TCTN3	Joubert syndrome 18;Orofacial-digital syndrome IV
TDGF1	Forebrain defects
TDO2	Hypertryptophanemia, familial
TDP1	Spinocerebellar ataxia autosomal recessive with axonal neuropathy
TDP2	Spinocerebellar ataxia, autosomal recessive 23
TDRD7	Cataract, autosomal recessive congenital 4
TDRD9	SPERMATOGENIC FAILURE 30
TDRKH	Distal spinal muscular atrophy
TEAD1	Sveinsson chorioretinal atrophy
TECPR2	Spastic paraplegia 49, autosomal recessive
TECR	Mental retardation, autosomal recessive 14
TECRL	Long QT syndrome;Ventricular tachycardia, catecholaminergic polymorphic, 3
TECTA	Sensorineural hearing loss;Deafness, autosomal dominant 12;Deafness;Nonsyndromic hearing loss and deafness;Deafness, autosomal recessive 21
TEK	Glaucoma 3, primary congenital, E;Acute myeloid leukemia;Multiple Cutaneous and Mucosal Venous Malformations
TELO2	You-Hoover-Fong syndrome
TENM3	Microphthalmia, isolated, with coloboma 9
TENM4	Tremor, hereditary essential, 5
TENT5A	OSTEOGENESIS IMPERFECTA, TYPE XVIII
TERC	Dyskeratosis congenita autosomal dominant;Idiopathic fibrosing alveolitis, chronic form;Aplastic anemia;Pulmonary fibrosis and/or bone marrow failure, telomere-related, 2
TERT	Hepatocellular carcinoma;Dyskeratosis congenita autosomal dominant;Dyskeratosis congenita, autosomal dominant, 2;Pulmonary fibrosis and/or bone marrow failure, telomere-related, 1;Acute myeloid leukemia;Dyskeratosis congenita autosomal recessive 1;Dyskeratosis congenita, autosomal recessive, 4;Idiopathic fibrosing alveolitis, chronic form;Aplastic anemia;Dyskeratosis congenita
TEX11	Spermatogenic failure, X-linked, 2
TEX14	SPERMATOGENIC FAILURE 23
TEX15	Oligosynaptic infertility;SPERMATOGENIC FAILURE 25
TF	Atransferrinemia;Transferrin variant d1;Transferrin variant b2;Transferrin variant bv
TFAM	Mitochondrial DNA depletion syndrome 15 (hepatocerebral type);Mitochondrial DNA depletion syndrome, hepatocerebral form
TFAP2A	Hypertelorism;High palate;Iris coloboma;Amblyopia;Low-set ears;Nystagmus;Short neck;Abnormality of visual evoked potentials;Branchiooculofacial syndrome;Lens subluxation;EEG abnormality;Epicanthus;Microphthalmia;Esotropia;Inborn genetic diseases
TFAP2B	Char syndrome;Patent ductus arteriosus 2
TFG	Spastic paraplegia 57, autosomal recessive;Neuropathy, hereditary motor and sensory, Okinawa type
TFR2	Hereditary hemochromatosis;Hemochromatosis type 3;Hemochromatosis type 1
TFRC	Combined immunodeficiency;Immunodeficiency 46
TG	Iodotyrosyl coupling defect;Autoimmune thyroid disease 3
TGDS	Inborn genetic diseases;Catel Manzke syndrome
TGFB1	Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome;INFLAMMATORY BOWEL DISEASE, IMMUNODEFICIENCY, AND ENCEPHALOPATHY;Encephalopathy;Diaphyseal dysplasia
TGFB2	Holt-Oram syndrome;Loeys-Dietz syndrome 4;Cardiovascular phenotype;Inborn genetic diseases;Loeys-Dietz syndrome
TGFB3	Loeys-Dietz syndrome 4;Arrhythmogenic right ventricular dysplasia, familial 1;Cardiovascular phenotype;Loeys-Dietz syndrome 5
TGFBI	Reis-Bucklers corneal dystrophy;Lattice corneal dystrophy Type I;Thiel-Behnke corneal dystrophy;Corneal epithelial dystrophy;Corneal dystrophy;Avellino corneal dystrophy;Lattice corneal dystrophy type 3A;Groenouw corneal dystrophy type I
TGFBR1	Loeys-Dietz syndrome 1;Cardiovascular phenotype;Thoracic aortic aneurysm and aortic dissection;Ehlers-Danlos syndrome, classic type;Loeys-Dietz syndrome;Multiple self healing squamous epithelioma
TGFBR2	Hereditary nonpolyposis colorectal cancer type 6;Cardiovascular phenotype;Thoracic aortic aneurysm and aortic dissection;Inborn genetic diseases;Loeys-Dietz syndrome;Loeys-Dietz syndrome 2
TGIF1	Holoprosencephaly 4
TGM1	Ichthyosis;Autosomal recessive congenital ichthyosis 1;Lamellar ichthyosis
TGM3	Uncombable hair syndrome 2
TGM5	Peeling skin syndrome, acral type
TGM6	Acute myeloid leukemia;Spinocerebellar ataxia 35
TH	Dystonia;Inborn genetic diseases;Segawa syndrome, autosomal recessive
THAP1	Dystonia 6, torsion
THAP11	Mental retardation 3, X-linked
THBD	Thrombophilia due to thrombomodulin defect;Atypical hemolytic-uremic syndrome 6
THBS2	Lumbar disc herniation, susceptibility to
THOC2	Mental retardation, X-linked 12
THOC6	Inborn genetic diseases;Beaulieu-Boycott-Innes syndrome
THPO	Inborn genetic diseases
THRA	Hypothyroidism, congenital, nongoitrous, 6;Inborn genetic diseases
THRB	Thyroid Hormone Resistance;Thyroid hormone resistance, selective pituitary;Thyroid hormone resistance, generalized, autosomal recessive;Thyroid hormone resistance, generalized, autosomal dominant;Thyroid hormone resistance, generalized
THSD1	Non-immune hydrops fetalis
TICAM1	Herpes simplex encephalitis, susceptibility to, 4
TIMM50	3-METHYLGLUTACONIC ACIDURIA, TYPE IX;Inborn genetic diseases;Mitochondrial encephalopathy
TIMM8A	Schizophrenia;Autistic disorder of childhood onset;Mohr-Tranebjaerg syndrome
TIMMDC1	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 31
TIMP3	Cerebral arteriovenous malformation;Sorsby fundus dystrophy
TINF2	Revesz syndrome;Dyskeratosis congenita autosomal dominant;Aplastic anemia;Dyskeratosis congenita, autosomal dominant, 3;Dyskeratosis congenita
TJP2	Deafness, autosomal dominant 51;Hypercholanemia, familial;Progressive familial intrahepatic cholestasis 4
TK2	Mitochondrial DNA depletion syndrome 2;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3
TKT	Short stature, developmental delay, and congenital heart defects
TLE6	Preimplantation embryonic lethality 1
TLK2	MENTAL RETARDATION, AUTOSOMAL DOMINANT 57;Inborn genetic diseases
TLL1	Atrial septal defect 6
TLR1	Leprosy 5
TLR2	Mycobacterium tuberculosis, susceptibility to;Leprosy 3
TLR3	Herpes simplex encephalitis 2
TLR5	Melioidosis, resistance to;Systemic lupus erythematosus, resistance to, 1;Legionellosis
TMC1	Deafness, autosomal dominant 36;Deafness;Deafness, autosomal recessive 7;Nonsyndromic hearing loss and deafness
TMC6	EPIDERMODYSPLASIA VERRUCIFORMIS
TMC8	EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 2;EPIDERMODYSPLASIA VERRUCIFORMIS
TMCO1	Scoliosis;Pulmonic stenosis;Bilateral cleft palate;Cognitive impairment;Global developmental delay;Bifid ribs;Cleft palate;Median cleft lip;Delayed speech and language development;Severe visual impairment;Renal agenesis;Bilateral cleft lip and palate;Asymmetry of the thorax;Unilateral renal agenesis;Bilateral cleft lip;Autistic disorder of childhood onset;Periventricular leukomalacia;Strabismus;Abnormality of the sternum;Hemivertebrae;Sensorineural hearing loss;Cleft upper lip;Rib fusion;Relative macrocephaly;Craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome;Inborn genetic diseases;Cryptorchidism
